scenario,factor,level,n_observations,sigma_cs,sigma_is,alpha_cs_true,alpha_is_true,replicate,seed,method,latent,RMSE_m,MAE_m,bias_m,negative_dense_predictions,final_training_loss
density_dense,density,120 observations,120,0.03,0.02,1.0,0.0,2,47,Point + linear,Hi,0.12522003800152434,0.0991011569012437,-0.0034797076265399886,0,
density_dense,density,120 observations,120,0.03,0.02,1.0,0.0,2,47,Point + linear,Hs,0.019818597566797318,0.015535252342909412,0.0031586875162001207,0,
density_dense,density,120 observations,120,0.03,0.02,1.0,0.0,2,47,Positive GP,Hi,0.06688314052528284,0.05676822324359417,-0.000494423081942375,0,-526.7989041297869
density_dense,density,120 observations,120,0.03,0.02,1.0,0.0,2,47,Positive GP,Hs,0.011812168117474757,0.009674169953564654,0.0020831603868875165,0,-526.7989041297869
density_dense,density,120 observations,120,0.03,0.02,1.0,0.0,3,83,Point + linear,Hi,0.15537755178010734,0.12121428451992525,-0.03697147056744966,0,
density_dense,density,120 observations,120,0.03,0.02,1.0,0.0,3,83,Point + linear,Hs,0.022212021278243236,0.01701750334035281,0.002511984640885283,0,
density_dense,density,120 observations,120,0.03,0.02,1.0,0.0,3,83,Positive GP,Hi,0.06216905559386985,0.04521375981506227,-0.022762127830986748,0,-487.82251024440774
density_dense,density,120 observations,120,0.03,0.02,1.0,0.0,3,83,Positive GP,Hs,0.013063675156166354,0.01077186592361685,0.0020424229448651582,0,-487.82251024440774
penetration_radar_partial,penetration,true alpha_cs=0.8,60,0.03,0.02,0.8,0.0,0,11,Point + linear,Hi,0.25569575041110826,0.21232523836613892,0.20550588978948534,0,
penetration_radar_partial,penetration,true alpha_cs=0.8,60,0.03,0.02,0.8,0.0,0,11,Point + linear,Hs,0.04418897748818745,0.0387439341165837,-0.03320058185418239,0,
penetration_radar_partial,penetration,true alpha_cs=0.8,60,0.03,0.02,0.8,0.0,0,11,Positive GP,Hi,0.240625451414938,0.22390963071978218,0.22390963071978218,0,-229.06386921411521
penetration_radar_partial,penetration,true alpha_cs=0.8,60,0.03,0.02,0.8,0.0,0,11,Positive GP,Hs,0.04003296661023006,0.03605165893997558,-0.03429546631941806,0,-229.06386921411521
penetration_radar_partial,penetration,true alpha_cs=0.8,60,0.03,0.02,0.8,0.0,1,29,Point + linear,Hi,0.28834324917350734,0.24030205622679632,0.2294419985689883,0,
penetration_radar_partial,penetration,true alpha_cs=0.8,60,0.03,0.02,0.8,0.0,1,29,Point + linear,Hs,0.046376888661227356,0.03939666039033686,-0.03561963454547213,0,
penetration_radar_partial,penetration,true alpha_cs=0.8,60,0.03,0.02,0.8,0.0,1,29,Positive GP,Hi,0.24065802361532074,0.21493155618228563,0.2143212630182664,0,-237.34336921156634
penetration_radar_partial,penetration,true alpha_cs=0.8,60,0.03,0.02,0.8,0.0,1,29,Positive GP,Hs,0.03918540607882687,0.03383667464721156,-0.033471499070315436,0,-237.34336921156634
penetration_radar_partial,penetration,true alpha_cs=0.8,60,0.03,0.02,0.8,0.0,2,47,Point + linear,Hi,0.31339128028823965,0.27886630372382504,0.2768195404921114,0,
penetration_radar_partial,penetration,true alpha_cs=0.8,60,0.03,0.02,0.8,0.0,2,47,Point + linear,Hs,0.04742887126974519,0.04019636590678619,-0.03819342203995732,0,
penetration_radar_partial,penetration,true alpha_cs=0.8,60,0.03,0.02,0.8,0.0,2,47,Positive GP,Hi,0.2976489153765774,0.28103984089414547,0.28103984089414547,0,-234.3003411060967
penetration_radar_partial,penetration,true alpha_cs=0.8,60,0.03,0.02,0.8,0.0,2,47,Positive GP,Hs,0.04370171461050179,0.03834377456685197,-0.03834377456685197,0,-234.3003411060967
penetration_radar_partial,penetration,true alpha_cs=0.8,60,0.03,0.02,0.8,0.0,3,83,Point + linear,Hi,0.33817965551042384,0.3100100696972522,0.3087893042367915,0,
penetration_radar_partial,penetration,true alpha_cs=0.8,60,0.03,0.02,0.8,0.0,3,83,Point + linear,Hs,0.049511047796191275,0.043200147397485136,-0.0426862001558788,0,
penetration_radar_partial,penetration,true alpha_cs=0.8,60,0.03,0.02,0.8,0.0,3,83,Positive GP,Hi,0.31047853177931756,0.3030219635758091,0.3030219635758091,0,-235.90077566382269
penetration_radar_partial,penetration,true alpha_cs=0.8,60,0.03,0.02,0.8,0.0,3,83,Positive GP,Hs,0.04604795228984526,0.043564374295777614,-0.043564374295777614,0,-235.90077566382269
penetration_laser_partial,penetration,true alpha_is=0.1,60,0.03,0.02,1.0,0.1,0,11,Point + linear,Hi,0.2286387842462605,0.19626753345005804,-0.17499022277539553,0,
penetration_laser_partial,penetration,true alpha_is=0.1,60,0.03,0.02,1.0,0.1,0,11,Point + linear,Hs,0.025456364751449696,0.020588668685723753,-0.01226006619817365,0,
penetration_laser_partial,penetration,true alpha_is=0.1,60,0.03,0.02,1.0,0.1,0,11,Positive GP,Hi,0.18860315228446056,0.17408286079247462,-0.17408286079247462,0,-237.67772671850207
penetration_laser_partial,penetration,true alpha_is=0.1,60,0.03,0.02,1.0,0.1,0,11,Positive GP,Hs,0.018748205968003046,0.015151850113288358,-0.008858762045434352,0,-237.67772671850207
penetration_laser_partial,penetration,true alpha_is=0.1,60,0.03,0.02,1.0,0.1,1,29,Point + linear,Hi,0.18201748485455407,0.1397338475640985,-0.12556224015626433,0,
penetration_laser_partial,penetration,true alpha_is=0.1,60,0.03,0.02,1.0,0.1,1,29,Point + linear,Hs,0.032756518683805004,0.026280137607174823,-0.018840843188253565,0,
penetration_laser_partial,penetration,true alpha_is=0.1,60,0.03,0.02,1.0,0.1,1,29,Positive GP,Hi,0.12694092955285038,0.11754472298461348,-0.11754472298461348,0,-224.18049037494526
penetration_laser_partial,penetration,true alpha_is=0.1,60,0.03,0.02,1.0,0.1,1,29,Positive GP,Hs,0.02371753279851954,0.020382187533716848,-0.016469782233309634,0,-224.18049037494526
penetration_laser_partial,penetration,true alpha_is=0.1,60,0.03,0.02,1.0,0.1,2,47,Point + linear,Hi,0.15571790442327046,0.13115042711085417,-0.08242725474633726,0,
penetration_laser_partial,penetration,true alpha_is=0.1,60,0.03,0.02,1.0,0.1,2,47,Point + linear,Hs,0.0347832973349436,0.027664168093761436,-0.023555940433339983,0,
penetration_laser_partial,penetration,true alpha_is=0.1,60,0.03,0.02,1.0,0.1,2,47,Positive GP,Hi,0.12356084922610916,0.10457035780905839,-0.08525440718997858,0,-231.91470451418428
penetration_laser_partial,penetration,true alpha_is=0.1,60,0.03,0.02,1.0,0.1,2,47,Positive GP,Hs,0.025836764413400205,0.02045230402631153,-0.01862532904843659,0,-231.91470451418428
penetration_laser_partial,penetration,true alpha_is=0.1,60,0.03,0.02,1.0,0.1,3,83,Point + linear,Hi,0.14949492650860813,0.11221200140055007,-0.06629478486688947,0,
penetration_laser_partial,penetration,true alpha_is=0.1,60,0.03,0.02,1.0,0.1,3,83,Point + linear,Hs,0.032849962958566827,0.026424388883673662,-0.018890544890059525,0,
penetration_laser_partial,penetration,true alpha_is=0.1,60,0.03,0.02,1.0,0.1,3,83,Positive GP,Hi,0.12005017543564321,0.09758181937475278,-0.07885717747438051,0,-247.8821727955863
penetration_laser_partial,penetration,true alpha_is=0.1,60,0.03,0.02,1.0,0.1,3,83,Positive GP,Hs,0.024753202731701503,0.019786955004555806,-0.015565288440271793,0,-247.8821727955863
penetration_combined,penetration,true alpha_cs=0.8 and alpha_is=0.1,60,0.03,0.02,0.8,0.1,0,11,Point + linear,Hi,0.19124456325271907,0.1548946421159735,0.10951104075629615,0,
penetration_combined,penetration,true alpha_cs=0.8 and alpha_is=0.1,60,0.03,0.02,0.8,0.1,0,11,Point + linear,Hs,0.06565259955302426,0.05922512246514049,-0.0586377204330914,0,
penetration_combined,penetration,true alpha_cs=0.8 and alpha_is=0.1,60,0.03,0.02,0.8,0.1,0,11,Positive GP,Hi,0.13643048441573055,0.11152609654333094,0.10373772924313163,0,-229.59726124025832
penetration_combined,penetration,true alpha_cs=0.8 and alpha_is=0.1,60,0.03,0.02,0.8,0.1,0,11,Positive GP,Hs,0.059031342305982115,0.05598667355232763,-0.05598667355232763,0,-229.59726124025832
penetration_combined,penetration,true alpha_cs=0.8 and alpha_is=0.1,60,0.03,0.02,0.8,0.1,1,29,Point + linear,Hi,0.2273169150019343,0.19235709216910926,0.16249155070230278,0,
penetration_combined,penetration,true alpha_cs=0.8 and alpha_is=0.1,60,0.03,0.02,0.8,0.1,1,29,Point + linear,Hs,0.06722513227419653,0.06160615835892872,-0.06118681950845122,0,
penetration_combined,penetration,true alpha_cs=0.8 and alpha_is=0.1,60,0.03,0.02,0.8,0.1,1,29,Positive GP,Hi,0.1753229180660626,0.1578463417796307,0.15778531866578444,0,-225.92032397732888
penetration_combined,penetration,true alpha_cs=0.8 and alpha_is=0.1,60,0.03,0.02,0.8,0.1,1,29,Positive GP,Hs,0.06385499277493464,0.060385913161903775,-0.060385913161903775,0,-225.92032397732888
penetration_combined,penetration,true alpha_cs=0.8 and alpha_is=0.1,60,0.03,0.02,0.8,0.1,2,47,Point + linear,Hi,0.2293401907434829,0.18705833236949362,0.1653831280766286,0,
penetration_combined,penetration,true alpha_cs=0.8 and alpha_is=0.1,60,0.03,0.02,0.8,0.1,2,47,Point + linear,Hs,0.06612600236191574,0.05717650850227728,-0.057008543700072294,0,
penetration_combined,penetration,true alpha_cs=0.8 and alpha_is=0.1,60,0.03,0.02,0.8,0.1,2,47,Positive GP,Hi,0.2059052082363396,0.17643934299467534,0.16391904323109682,0,-237.58784338472776
penetration_combined,penetration,true alpha_cs=0.8 and alpha_is=0.1,60,0.03,0.02,0.8,0.1,2,47,Positive GP,Hs,0.06145071531216297,0.055116140761579356,-0.055116140761579356,0,-237.58784338472776
penetration_combined,penetration,true alpha_cs=0.8 and alpha_is=0.1,60,0.03,0.02,0.8,0.1,3,83,Point + linear,Hi,0.20445669035405958,0.16748867831931732,0.12968909013402216,0,
penetration_combined,penetration,true alpha_cs=0.8 and alpha_is=0.1,60,0.03,0.02,0.8,0.1,3,83,Point + linear,Hs,0.06940161135458603,0.06372164050952778,-0.06368920566258647,0,
penetration_combined,penetration,true alpha_cs=0.8 and alpha_is=0.1,60,0.03,0.02,0.8,0.1,3,83,Positive GP,Hi,0.18315029557069404,0.17037306177678546,0.14616342907140273,0,-235.91449501413854
penetration_combined,penetration,true alpha_cs=0.8 and alpha_is=0.1,60,0.03,0.02,0.8,0.1,3,83,Positive GP,Hs,0.0658079576845266,0.06202804822553253,-0.06202804822553253,0,-235.91449501413854
